Gamma	0.50	0.55	0.60	0.65	0.70	0.75	0.80	0.85	0.90
"b = n^gamma"	1000	1995	3981	7943	15849	31623	63096	125893	251189
Min	 0.000000 	 0.008602 	 0.008549 	 0.008637 	 0.008392 	 0.008725 	 0.008667 	 0.008237 	 0.008278 
Q1	 0.000000 	 0.009658 	 0.009588 	 0.009668 	 0.009640 	 0.009638 	 0.009623 	 0.009607 	 0.009760 
Med	 0.000000 	 0.009973 	 0.009920 	 0.009971 	 0.009926 	 0.009950 	 0.009933 	 0.009902 	 0.010059 
Mean	 0.000000 	 0.009979 	 0.009917 	 0.009981 	 0.009941 	 0.009947 	 0.009942 	 0.009913 	 0.010080 
Q3	 0.000000 	 0.010310 	 0.010217 	 0.010288 	 0.010253 	 0.010242 	 0.010252 	 0.010222 	 0.010404 
Max	 0.000000 	 0.011346 	 0.011610 	 0.011524 	 0.011400 	 0.011413 	 0.011443 	 0.011723 	 0.011549 
SD	 0.000000 	 0.000478 	 0.000468 	 0.000462 	 0.000458 	 0.000464 	 0.000450 	 0.000470 	 0.000481 
IQR	 0.000000 	 0.000652 	 0.000629 	 0.000620 	 0.000613 	 0.000604 	 0.000629 	 0.000615 	 0.000644 
