Gamma,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90
b = n^gamma,1000,1995,3981,7943,15849,31623,63096,125893,251189
Min,3.44E-13, 0.008602 , 0.008549 , 0.008637 , 0.008392 , 0.008725 , 0.008667 , 0.008237 , 0.008278 
Q1,8.50E-13, 0.009658 , 0.009588 , 0.009668 , 0.009640 , 0.009638 , 0.009623 , 0.009607 , 0.009760 
Med,1.12E-12, 0.009973 , 0.009920 , 0.009971 , 0.009926 , 0.009950 , 0.009933 , 0.009902 , 0.010059 
Mean,1.21E-12, 0.009979 , 0.009917 , 0.009981 , 0.009941 , 0.009947 , 0.009942 , 0.009913 , 0.010080 
Q3,1.51E-12, 0.010310 , 0.010217 , 0.010288 , 0.010253 , 0.010242 , 0.010252 , 0.010222 , 0.010404 
Max,2.91E-12, 0.011346 , 0.011610 , 0.011524 , 0.011400 , 0.011413 , 0.011443 , 0.011723 , 0.011549 
SD,4.73E-13, 0.000478 , 0.000468 , 0.000462 , 0.000458 , 0.000464 , 0.000450 , 0.000470 , 0.000481 
IQR,6.55E-13, 0.000652 , 0.000629 , 0.000620 , 0.000613 , 0.000604 , 0.000629 , 0.000615 , 0.000644 
IQR Relative to Gamma=0.70,1.07E-09,1.0636215,1.0261011,1.0114192,1.0000000,0.9853181,1.0261011,1.0032626,1.0505710
SD Relative to Gamma=0.70,1.74E-06,1.0442097,1.0227365,1.0078933,1.0000000,1.0128851,0.9833971,1.0260137,1.0497335
Runtime (sec),4.185,7.71,12.79,25.09,47.01,47.09,176.04,412.19,856.89
,6.90776,7.59853,8.28931,8.98008,9.67086,10.36163,11.05241,11.74318,12.43396
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,

Gamma = 0.70  b = 15849,,,,,,,,,
s,5,10,25,50,,,,,
r,50,25,10,5,,,,,
Min, 0.00839 , 0.00842 , 0.00849 , 0.00778 ,,,,,
Q1, 0.00964 , 0.00962 , 0.00942 , 0.00906 ,,,,,
Med, 0.00993 , 0.00990 , 0.00971 , 0.00937 ,,,,,
Mean, 0.00994 , 0.00991 , 0.00972 , 0.00939 ,,,,,
Q3, 0.01025 , 0.01022 , 0.01002 , 0.00973 ,,,,,
Max, 0.01140 , 0.01135 , 0.01109 , 0.01094 ,,,,,
SD, 0.00046 , 0.00046 , 0.00046 , 0.00049 ,,,,,
IQR, 0.00061 , 0.00060 , 0.00061 , 0.00067 ,,,,,
"IQR Relative to s=10, r = 25", 1.02167 , 1.00000 , 1.01000 , 1.10833 ,,,,,
"SD Relative to s=10, r = 25", 1.00366 , 1.00000 , 1.01535 , 1.08013 ,,,,,
