y X_1 X_2 X_3 X_4 X_5 X_6 X_7 X_8
0 1 -0.138 -0.403 -0.866 -1.14 0.697 -1.124 0.123
0 1 -1.98 -0.597 -0.819 -0.596 0.346 -0.507 -1.212
1 1 -1.532 0.801 -0.229 2.316 0.895 1.017 0.087
0 1 0.37 1.07 1.329 -1.563 -0.94 -1.225 1.597
0 1 0.223 -0.279 0.139 -1.433 0.525 -1.894 0.307
1 1 0.728 1.312 0.546 -0.404 -0.336 0.961 -0.816
1 1 0.662 -1.871 -0.691 0.717 0.048 0.513 1.005
1 1 -0.981 -0.679 0.356 0.561 -1.931 -0.586 1.276
0 1 -0.019 -0.142 -1.231 1.793 -0.335 -0.832 1.095
1 1 -2.411 -0.056 -0.046 0.109 -0.577 0.191 0.576
1 1 -0.61 1.241 0.76 0.41 0.368 0.069 -0.676
0 1 1.475 0.237 -0.822 -1.705 -0.005 0.649 1.556
1 1 -0.597 0.716 0.845 0.282 -0.33 0.437 0.254
1 1 -0.377 0.523 0.325 -1.236 -1.336 1.311 2.18
1 1 1.217 1.155 0.82 1.418 -0.082 -0.212 -0.767
1 1 -0.596 0.449 -0.167 -1.072 -0.331 1.268 1.375
0 1 1.65 0.377 -0.029 0.185 -0.675 -0.714 0.619
1 1 -0.715 1.883 1.426 0.939 -1.3 0.733 -0.764
1 1 0.519 -1.861 -0.153 -0.89 -1.204 1.1 0.461
1 1 -0.477 -0.667 0.45 -0.811 0.289 0.222 1.356
1 1 0.245 1.257 0.711 0.375 0.507 0.988 0.218
1 1 1.24 -0.795 0.453 -1.755 0.916 2.595 -0.716
1 1 0.111 2.63 -1.274 0.503 0.508 1.899 1.572
1 1 -2.028 -1.511 -0.327 -0.815 0.179 0.165 1.363
0 1 0.317 -0.056 1.004 -0.743 0.358 -1.268 0.011
1 1 0.495 -1.828 1.475 0.788 -1.231 -1.307 -1.576
1 1 0.291 -0.679 1.62 -0.477 0.358 -0.271 1.236
0 1 0.709 -1.771 -1.078 0.871 0.807 -1.201 -0.143
1 1 -0.623 -0.302 0.249 -1.365 -0.216 0.982 0.307
0 1 -0.042 -0.1 -2.878 -0.05 -1.423 -0.246 1.511
1 1 -0.005 -1.02 -0.945 -0.15 -1.747 0.196 0.681
0 1 1.673 -3.304 2.079 -0.868 1.384 -0.163 -0.523
1 1 -1.225 -2.52 0.54 2.663 1.458 1.983 -2.311
0 1 2.273 -1.928 -0.116 2.199 0.475 0.204 -0.704
1 1 0.097 2.473 0.61 0.083 -0.675 0.64 -2.873
1 1 1.178 0.701 -2.156 0.391 -0.212 2.266 0.559
0 1 2.419 -0.306 0.242 -0.878 -0.154 -0.002 0.046
0 1 -1.799 -0.483 0.323 0.556 0.869 -1.112 -1.457
1 1 -0.916 -1.424 1.964 0.314 0.047 0.585 0.265
1 1 0.905 -1.273 -0.784 2.522 -0.191 1.217 0.821
0 1 -1.721 -1.04 0.176 0.514 0.142 -0.786 -0.982
0 1 0.27 -0.421 -0.094 0.277 0.001 -0.152 -0.674
0 1 1.932 -0.994 0.201 0.169 0.138 1.455 -1.533
1 1 -0.63 -0.258 -0.421 1.602 -1.12 1.521 1.572
0 1 -1.28 1.045 -1.073 -0.267 -0.875 -2.533 -1.314
1 1 1.258 -0.522 0.628 1.837 -0.084 0.759 0.239
1 1 -0.125 2.025 -1.214 0.334 -2.34 1.584 -1.097
0 1 0.736 0.002 -2.631 -0.916 0.406 1.73 -2.139
